contractSymbol,price_source,input_price,implied_volatility,solver_status,failure_reason,solver_iterations,solver_lower_bound,solver_upper_bound,pricing_error
SPY20260621C00620000,bid,8.54,0.4785128691998889,success,,29,1e-06,5.0,-1.6138535130494347e-07
SPY20260621C00620000,mid,8.8,0.4869337372237761,success,,29,1e-06,5.0,-2.8414497421636042e-09
SPY20260621C00620000,ask,9.06,0.49532357358568335,success,,29,1e-06,5.0,-1.4331197739636536e-07
SPY20260621P00620000,bid,27.94,0.4751914196605216,success,,29,1e-06,5.0,-1.4899832478931785e-09
SPY20260621P00620000,mid,28.8,0.502968929456791,success,,29,1e-06,5.0,-1.9864170397454473e-07
SPY20260621P00620000,ask,29.66,0.530441673314696,success,,29,1e-06,5.0,-1.235672222321682e-07
SPY20260621C00640000,bid,7.36,0.6169897608873156,success,,29,1e-06,5.0,2.035481676543327e-07
SPY20260621C00640000,mid,7.699999999999999,0.6296005924570505,success,,29,1e-06,5.0,1.5886591953062634e-07
SPY20260621C00640000,ask,8.04,0.6420842240149846,success,,29,1e-06,5.0,1.1527645682463117e-07
SPY20260621P00640000,bid,45.6,0.5694865635090564,success,,29,1e-06,5.0,-1.5295970712259077e-07
SPY20260621P00640000,mid,47.7,0.6484188181302788,success,,29,1e-06,5.0,2.2361447804541967e-08
SPY20260621P00640000,ask,49.8,0.7229198222012799,success,,29,1e-06,5.0,-9.556008251365711e-08
SPY20260621P00660000,bid,62.74,0.5833051898313483,success,,29,1e-06,5.0,1.2843095476000599e-08
SPY20260621P00660000,mid,66.6,0.762028452099899,success,,29,1e-06,5.0,-4.4139056853964576e-08
SPY20260621P00660000,ask,70.46,0.9117267913652233,success,,29,1e-06,5.0,6.71609967639597e-08
SPY20260719C00540000,bid,67.51,0.35721485226481964,success,,29,1e-06,5.0,9.949023649369337e-08
SPY20260719C00540000,mid,72.0,0.45070170141250454,success,,29,1e-06,5.0,2.2530963406097726e-07
SPY20260719C00540000,ask,76.49,0.5332457173879911,success,,29,1e-06,5.0,2.520703361597043e-07
SPY20260719P00540000,bid,11.25,0.4760205573564228,success,,29,1e-06,5.0,-2.3812339122741832e-07
SPY20260719P00540000,mid,12.0,0.4899195381743814,success,,29,1e-06,5.0,-1.062333581103303e-07
SPY20260719P00540000,ask,12.75,0.5036208178757411,success,,29,1e-06,5.0,1.7602155821805354e-07
SPY20260719C00560000,bid,51.51,0.34790231755987744,success,,29,1e-06,5.0,4.762879299846645e-07
SPY20260719C00560000,mid,54.0,0.3904206491073836,success,,29,1e-06,5.0,-1.3392752862273483e-07
SPY20260719C00560000,ask,56.49,0.4313276625379082,success,,29,1e-06,5.0,1.46286609492563e-08
SPY20260719P00560000,bid,13.36,0.41559032583113564,success,,29,1e-06,5.0,-1.6480312581279577e-07
SPY20260719P00560000,mid,14.0,0.42602264532293577,success,,29,1e-06,5.0,2.1182830778343487e-07
SPY20260719P00560000,ask,14.64,0.43637932281035374,success,,29,1e-06,5.0,-2.117132709145153e-07
SPY20260719C00580000,bid,34.91,0.3015987565500532,success,,29,1e-06,5.0,2.0948633050466015e-07
SPY20260719C00580000,mid,36.0,0.3177308621907998,success,,29,1e-06,5.0,-9.045703563970164e-08
SPY20260719C00580000,ask,37.09,0.3337458261015396,success,,29,1e-06,5.0,-6.075711951325502e-07
SPY20260719P00580000,bid,15.52,0.34353920255558745,success,,29,1e-06,5.0,1.365700761368771e-07
SPY20260719P00580000,mid,16.0,0.350534569905417,success,,29,1e-06,5.0,4.0260809441861056e-07
SPY20260719P00580000,ask,16.48,0.35751362048700275,success,,29,1e-06,5.0,1.7508445537828266e-07
SPY20260719P00600000,bid,17.73,0.25396470837623075,success,,29,1e-06,5.0,-4.613967163891175e-08
SPY20260719P00600000,mid,18.0,0.2576055642419066,success,,29,1e-06,5.0,3.1418295520779793e-07
SPY20260719P00600000,ask,18.27,0.26124637354146313,success,,28,1e-06,5.0,-7.991793893324939e-10
SPY20260719C00620000,bid,15.52,0.3081941023076382,success,,29,1e-06,5.0,-3.714015868183651e-07
SPY20260719C00620000,mid,16.0,0.31484624010446494,success,,29,1e-06,5.0,1.5298601852009597e-07
SPY20260719C00620000,ask,16.48,0.32148645697472056,success,,29,1e-06,5.0,-3.9674339902262545e-07
SPY20260719P00620000,bid,34.93,0.3331419007855897,success,,29,1e-06,5.0,6.653654125443609e-07
SPY20260719P00620000,mid,36.0,0.3478668714297768,success,,29,1e-06,5.0,4.734661729344225e-07
SPY20260719P00620000,ask,37.07,0.36254916888212974,success,,29,1e-06,5.0,-4.1990126931068517e-08
SPY20260719C00640000,bid,13.38,0.36852028649569846,success,,29,1e-06,5.0,2.60461968437653e-07
SPY20260719C00640000,mid,14.0,0.3777978221052867,success,,29,1e-06,5.0,-4.770793680108909e-07
SPY20260719C00640000,ask,14.62,0.3870157717084681,success,,29,1e-06,5.0,8.523159600315466e-08
SPY20260719P00640000,bid,51.62,0.37916468672177384,success,,29,1e-06,5.0,-4.589642728092258e-07
SPY20260719P00640000,mid,54.0,0.4142372261595483,success,,29,1e-06,5.0,-4.2867156935244566e-08
SPY20260719P00640000,ask,56.38,0.4486700402487648,success,,29,1e-06,5.0,-5.71982418762218e-07
SPY20260719C00660000,bid,11.31,0.41342572770968267,success,,29,1e-06,5.0,1.072097077781109e-09
SPY20260719C00660000,mid,12.0,0.4247740213968736,success,,29,1e-06,5.0,-2.0711490833491553e-07
SPY20260719C00660000,ask,12.69,0.43598007421569157,success,,28,1e-06,5.0,1.0129319605312048e-10
SPY20260918C00540000,bid,73.69,0.2598258740686309,success,,29,1e-06,5.0,-6.28797124591074e-07
SPY20260918C00540000,mid,78.6,0.3175788703770209,success,,29,1e-06,5.0,-1.0221097568319237e-07
SPY20260918C00540000,ask,83.51,0.3703344280024151,success,,29,1e-06,5.0,1.4042015550330689e-08
SPY20260918P00540000,bid,17.44,0.36612356558217296,success,,29,1e-06,5.0,-1.6887230813722454e-07
SPY20260918P00540000,mid,18.6,0.37819722902475483,success,,29,1e-06,5.0,-4.665678616788682e-07
SPY20260918P00540000,ask,19.76,0.3901385515559521,success,,29,1e-06,5.0,-2.5407858217363355e-07
SPY20260918C00560000,bid,58.86,0.25920427225374987,success,,29,1e-06,5.0,-8.359414636061047e-07
SPY20260918C00560000,mid,61.7,0.2875108290459457,success,,29,1e-06,5.0,-1.494086632192193e-09
SPY20260918C00560000,ask,64.54,0.3150365092684049,success,,29,1e-06,5.0,-9.966809955130884e-08
SPY20260918P00560000,bid,20.7,0.3344243875936921,success,,29,1e-06,5.0,-9.956663049592862e-08
SPY20260918P00560000,mid,21.7,0.343855516891567,success,,29,1e-06,5.0,-8.036594287830212e-07
SPY20260918P00560000,ask,22.7,0.35323641065981426,success,,29,1e-06,5.0,-8.205841588448948e-07
SPY20260918C00580000,bid,43.44,0.23733291102123819,success,,29,1e-06,5.0,5.247146646070178e-07
SPY20260918C00580000,mid,44.8,0.24940737540107402,success,,29,1e-06,5.0,2.7621554465895315e-07
SPY20260918C00580000,ask,46.16,0.2614140395110379,success,,29,1e-06,5.0,2.2342842953548825e-07
SPY20260918P00580000,bid,24.05,0.29621945706138586,success,,29,1e-06,5.0,-9.288427698095347e-07
SPY20260918P00580000,mid,24.8,0.3027430164892767,success,,29,1e-06,5.0,8.817765362323371e-08
SPY20260918P00580000,ask,25.55,0.3092559402154925,success,,29,1e-06,5.0,3.4267362636342114e-07
SPY20260918C00600000,bid,27.48,0.19799877071950397,success,,29,1e-06,5.0,-1.0042005378352314e-06
SPY20260918C00600000,mid,27.9,0.20145621195401817,success,,29,1e-06,5.0,-3.7838761812736266e-07
SPY20260918C00600000,ask,28.32,0.2049131875273381,success,,29,1e-06,5.0,-6.447128342301767e-07
SPY20260918P00600000,bid,27.48,0.24979746909665873,success,,29,1e-06,5.0,3.3827832979227423e-07
SPY20260918P00600000,mid,27.9,0.2532508125126641,success,,29,1e-06,5.0,8.513800509035718e-08
SPY20260918P00600000,ask,28.32,0.2567040441699828,success,,29,1e-06,5.0,-2.9043963678532236e-07
SPY20260918C00620000,bid,24.06,0.24415639351107363,success,,29,1e-06,5.0,6.947740338603126e-07
SPY20260918C00620000,mid,24.799999999999997,0.250213826083595,success,,29,1e-06,5.0,6.032151844692635e-07
SPY20260918C00620000,ask,25.54,0.25626745886077174,success,,29,1e-06,5.0,-9.876515392193141e-07
SPY20260918P00620000,bid,43.47,0.2924977065330576,success,,29,1e-06,5.0,-9.268375436022325e-07
SPY20260918P00620000,mid,44.8,0.3033426949751359,success,,29,1e-06,5.0,1.121422158689711e-06
SPY20260918P00620000,ask,46.13,0.3141820954828839,success,,29,1e-06,5.0,-6.279497668515432e-07
SPY20260918C00640000,bid,20.74,0.2764205116603281,success,,29,1e-06,5.0,-3.820411400567991e-07
SPY20260918C00640000,mid,21.7,0.28459621837870586,success,,29,1e-06,5.0,5.648596648200055e-07
SPY20260918C00640000,ask,22.66,0.2927412100847159,success,,29,1e-06,5.0,3.9857794931208446e-07
SPY20260918P00640000,bid,58.98,0.3183312298552263,success,,29,1e-06,5.0,7.262507040195487e-09
SPY20260918P00640000,mid,61.7,0.34107434609612997,success,,29,1e-06,5.0,5.460333767359771e-07
SPY20260918P00640000,ask,64.42,0.3636851027992013,success,,29,1e-06,5.0,-5.894938652772908e-07
SPY20260918C00660000,bid,17.52,0.2992822411206123,success,,29,1e-06,5.0,2.2111428776838693e-07
SPY20260918C00660000,mid,18.6,0.30906887480056844,success,,29,1e-06,5.0,-5.549040125174542e-07
SPY20260918C00660000,ask,19.68,0.31876975231500515,success,,29,1e-06,5.0,-2.435193877659003e-07
SPY20260918P00660000,bid,74.05,0.3303130276574212,success,,29,1e-06,5.0,6.626186888070151e-07
SPY20260918P00660000,mid,78.6,0.3701310085663515,success,,29,1e-06,5.0,-1.0313058567135158e-06
SPY20260918P00660000,ask,83.15,0.4091414770852383,success,,29,1e-06,5.0,6.519143482819345e-07
